,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
67,POINT (3.270614134362534 50.91446289243019),917.0,0.012736924158006544,11.679759452892,1299.5333333333333,0.03156083290311478,0.0730466552317035,0.022205818190931533,0.051193588148401435
68,POINT (3.2832330249401824 50.912732910466076),150.0,0.012736924158006544,1.9105386237009816,1299.5333333333333,0.005162622612287042,0.0730466552317035,0.022205818190931533,0.008374087483380825
69,POINT (3.2832330249401824 50.912732910466076),150.0,0.012736924158006544,1.9105386237009816,1299.5333333333333,0.005162622612287042,0.0730466552317035,0.022205818190931533,0.008374087483380825
70,POINT (3.3256512037640933 50.90694338201674),338.0,0.0001633973318543342,0.055228298166764965,20599.466666666667,0.011633109619686801,0.0009370887678750095,0.3519940580953325,0.0038371774645176164
71,POINT (3.325490060992106 50.906970431879834),338.0,0.0001633973318543342,0.055228298166764965,20599.466666666667,0.011633109619686801,0.0009370887678750095,0.3519940580953325,0.0038371774645176164
72,POINT (4.302958883864266 51.11856013634784),2341.2800958556527,0.0001304639815147084,0.30545272314646654,285.8,0.0805809704304131,0.000748214981861977,0.004883616815499076,0.0002944424845653725
73,POINT (4.3030173299384336 51.11867677642194),2341.2800958556527,0.0001304639815147084,0.30545272314646654,285.8,0.0805809704304131,0.000748214981861977,0.004883616815499076,0.0002944424845653725
74,POINT (4.970580337762003 52.356941233484626),1429.0,0.009742586601181208,13.922156253087946,2719.8,0.04918258475305455,0.05587403643870642,0.04647467115043522,0.1277137688412182
75,POINT (5.008926823303329 52.336736414090495),38.0,0.006666710620363803,0.2533350035738245,2719.8,0.0013078643951127172,0.03823379225424141,0.04647467115043522,0.0023239480650592745
76,POINT (5.014280520217157 52.33276363674328),45.0,0.004447710506633112,0.20014697279849003,2719.8,0.0015487867836861124,0.02550775775360374,0.04647467115043522,0.00183603198768771
77,POINT (5.020708674099393 52.302758697450926),1748.0,0.018525507886364506,32.38258778536515,2719.8,0.06016176217518499,0.10624436251485585,0.04647467115043522,0.2970590371001819
78,POINT (5.017245675435254 52.32497211554555),1.0,0.0009036088838450617,0.0009036088838450617,2719.8,3.441748408191361e-05,0.005182224984910735,0.04647467115043522,8.28918265363261e-06
79,POINT (5.077048316122802 52.11049686760241),7577.0,0.01184325757349602,89.73636263437933,773.8666666666667,0.26078127688865943,0.06792144964195371,0.0132234718904393,0.2342226284289981
80,POINT (5.0778843480745754 52.097545336852825),988.0,0.0010272885761104101,1.0149611131970853,773.8666666666667,0.03400447427293065,0.0058915318574330935,0.0132234718904393,0.0026491697758559084
81,POINT (5.039385534925511 52.133699594354944),4109.0,0.0001318059841817118,0.5415907890026538,2668.6,0.14142144209258303,0.0007559114087952411,0.045599789481598436,0.004874712412732966
82,POINT (5.039270979980321 52.13376478624093),4109.0,0.0001318059841817118,0.5415907890026538,2668.6,0.14142144209258303,0.0007559114087952411,0.045599789481598436,0.004874712412732966
83,POINT (5.047337966782386 52.130308964823065),3237.0,0.0023305982841776143,7.544146645882938,2668.6,0.11140939597315436,0.013366053470680834,0.045599789481598436,0.06790282634955065
84,POINT (4.995635178943456 52.16768052116372),194.0,0.006761994509212357,1.3118269347871971,2668.6,0.006676991911891241,0.03878024831313857,0.045599789481598436,0.011807399926687554
85,POINT (5.01769660232855 52.26865484677754),190.0,0.024304482101474997,4.617851599280249,2668.6,0.006539321975563586,0.13938695894138184,0.045599789481598436,0.04156403500255967
86,POINT (5.006126178254229 52.225730840227605),133.0,0.004944092407212816,0.6575642901593045,2668.6,0.00457752538289451,0.028354523354552276,0.045599789481598436,0.0059185585731846655
87,POINT (4.785341129383892 52.51983132027433),784.0,0.0006198777898360644,0.4859841872314745,2719.8,0.02698330752022027,0.0035550183575115304,0.04647467115043522,0.004458136442392058
88,POINT (4.784550400975201 52.519813108718225),784.0,0.000171803642627549,0.1346940558199984,2719.8,0.02698330752022027,0.000985299220980014,0.04647467115043522,0.0012356049735805785
89,POINT (4.784721251610047 52.51983117947341),784.0,0.000171803642627549,0.1346940558199984,2719.8,0.02698330752022027,0.000985299220980014,0.04647467115043522,0.0012356049735805785
90,POINT (4.825629376966226 52.440463075059704),9707.0,4.471388066099098e-05,0.4340376395762395,2719.8,0.33409051798313544,0.00025643549291779215,0.04647467115043522,0.0039816090095191135
91,POINT (4.825601718556718 52.44049820828482),9707.0,4.471388066099098e-05,0.4340376395762395,2719.8,0.33409051798313544,0.00025643549291779215,0.04647467115043522,0.0039816090095191135
92,POINT (4.825601718556718 52.44049820828482),9707.0,4.471388066099098e-05,0.4340376395762395,2719.8,0.33409051798313544,0.00025643549291779215,0.04647467115043522,0.0039816090095191135
93,POINT (4.794889910231372 52.50036038921817),2638.0,0.009687901457500772,25.556684044887035,2719.8,0.09079332300808811,0.05556041544299609,0.04647467115043522,0.23444216392362413
94,POINT (4.798986093337057 52.4914723855117),5656.0,0.00012888058936414733,0.7289486134436173,2719.8,0.1946652899673034,0.0007391341787509752,0.04647467115043522,0.006686950858909928
